PF - Aposentado/pensionista,PF - Autônomo,PF - Empregado de empresa privada,PF - Empregado de entidades sem fins lucrativos,PF - Empresário,PF - Outros,PF - Servidor ou empregado público,-,PF - MEI
"0,00","0,00","0,00","0,00","0,00","1004,04","1162,36","0,00","0,00"
"0,00","0,00","0,00","1060,52","0,00","0,00","0,00","0,00","0,00"
"0,00","0,00","0,00","1060,52","0,00","0,00","0,00","0,00","0,00"
"0,00","0,00","0,00","0,00","0,00","1004,04","1023,57","0,00","0,00"
"0,00","289,46","0,00","1060,52","0,00","0,00","451,93","0,00","0,00"
"0,00","0,00","0,00","0,00","0,00","1004,04","1301,15","0,00","0,00"
"0,00","0,00","449,96","0,00","0,00","2383,91","607,20","0,00","0,00"
"0,00","0,00","0,00","0,00","0,00","0,00","193,66","0,00","0,00"
"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
"0,00","0,00","0,00","1060,52","0,00","3020,86","884,78","0,00","0,00"
"0,00","0,00","0,00","1060,52","0,00","2705,04","745,99","0,00","0,00"
